Order,Country,Number of new projects,Newly registered capital (million USD),Adjusted project number,Adjusted capital (million USD),Number of times of capital contribution to buy shares,"Value of capital contribution, share purchase
(million USD)",Year
1,Korea,828,5518.61,411,617.79,644,899.9,2016
2,Japan,341,868.09,219,1288.08,276,433.68,2016
3,Singapore,210,1590.5,92,571.39,161,257.2,2016
4,China,278,1263.22,74,441.15,319,170.85,2016
5,Taiwan,122,826.02,94,501.12,193,533.02,2016
6,Hongkong,166,1102.71,58,496.83,25,40.61,2016
7,Malaysia,40,532.85,26,154.89,96,226.29,2016
8,BritishVirginIslands,48,440.38,38,382.54,5,35.32,2016
9,Thailand,35,432.56,17,51.35,60,222.59,2016
10,Cayman Islands,8,633.61,2,11.14,,,2016
11,Samoa,26,376.65,26,151.12,,,2016
12,Australia,42,194.98,11,128.05,62,124.59,2016
13,The United States of America,64,197.2,21,98.68,132,104.52,2016
14,Brunei Darussalam,18,188.15,19,126.05,,,2016
15,Luxembourg,,,6,298.15,2,4.81,2016
16,Seychelles,38,229.53,12,54.33,,,2016
17,United Kingdom,46,164.48,9,33.25,32,22.55,2016
18,France,39,125.91,9,17.13,69,55.28,2016
19,India,19,88.85,4,9.14,42,4.7,2016
20,Neitherland,16,38.37,15,16.17,30,32.11,2016
21,Canada,15,38.54,3,7.66,32,21.53,2016
22,British West Indies,4,61.2,1,2,1,0.02,2016
23,Liên bang Nga,16,46.99,,,39,9.78,2016
24,Philippines,2,10.05,1,4.9,12,39.72,2016
25,Switzerland,8,5.6,6,32.76,13,16.04,2016
26,Denmark,8,3.46,4,37.41,17,10.9,2016
27,Bermuda,1,20.55,1,30,,,2016
28,Germany,21,15.39,8,20.22,41,9.3,2016
29,Macao,2,3.8,3,38.94,,,2016
30,Marshall Islands,1,40,,,,,2016
31,Italia,11,18.21,2,19.1,12,1.29,2016
32,Austria,4,1.57,1,16,7,17,2016
33,Ukraina,2,0.59,,,9,28.62,2016
34,Poland,3,26.36,,,4,0.17,2016
35,Belize,2,6.5,3,20,,,2016
36,Indonesia,8,6.72,3,14.86,14,2.33,2016
37,Pakistan,1,0.03,1,21,18,1,2016
38,Kazakhstan,,,,,2,21.19,2016
39,New Zealand,1,0.15,4,2.6,11,15.8,2016
40,Spain,6,0.55,2,0.93,7,16.14,2016
41,Belarus,1,16.2,,,2,0.1,2016
42,Cambodia,5,3.5,,,3,12.02,2016
43,Mauritius,1,0.5,4,14.14,,,2016
44,Laos,1,9,,,1,4.85,2016
45,Ireland,,,1,12.5,2,0.03,2016
46,Angola,1,6.66,1,5,,,2016
47,Panama,1,9,1,2,,,2016
48,El Salvador,1,10,,,,,2016
49,Belgium,7,2.25,,,12,6.88,2016
50,Sri Lanka,1,0.05,1,7.3,2,0.07,2016
51,Czech Republic,,,1,0.4,3,5.69,2016
52,Turkey,2,1.15,1,2,2,1.48,2016
53,Portugal,,,,,1,4,2016
54,Hungary,,,,,2,3.58,2016
55,Jordan,,,2,3,9,0.44,2016
56,Sweden,7,1.68,1,0.59,2,0.17,2016
57,Nigeria,3,0.06,1,0.09,57,1.9,2016
58,Saint Vincent and the Grenadines,,,1,1.95,,,2016
59,Saudi Arabic,3,1.28,,,3,0.21,2016
60,Liechtenstein,1,1,,,,,2016
61,Slovenia,,,,,1,0.89,2016
62,Egypt,,,1,0.05,4,0.53,2016
63,Swaziland,,,,,1,0.47,2016
64,Nauy,1,0.02,2,-0.7,2,1.1,2016
65,Poland,1,0.1,1,0.06,2,0.17,2016
66,Israel,4,0.17,,,6,0.15,2016
67,Nepal,,,,,6,0.28,2016
68,Armenia,1,0.01,,,3,0.26,2016
69,Cape Verde,,,,,1,0.22,2016
70,Bangladesh,,,,,4,0.17,2016
71,United Arab Emirates,2,0.15,,,1,0.01,2016
72,Iraq,1,0.04,,,3,0.1,2016
73,Palestine,1,0.09,,,1,0.03,2016
74,Congo,,,,,2,0.11,2016
75,Mali,,,,,3,0.11,2016
76,Lithuania,,,,,3,0.1,2016
77,Sudan,1,0.1,,,,,2016
78,Antigua and Barbuda,1,0.1,,,,,2016
79,Romania,,,,,1,0.08,2016
80,Grece,,,,,1,0.06,2016
81,Iran (Islamic Republic of),1,0.01,,,2,0.04,2016
82,Yemen,1,0.05,,,,,2016
83,Maroc,1,0.05,,,,,2016
84,Colombia,,,,,1,0.04,2016
85,Republic of Cyprus,,,,,2,0.04,2016
86,South Africa,2,0.02,,,1,0.01,2016
87,Bulgaria,1,0.02,,,,,2016
88,Afghanistan,,,,,1,0.02,2016
89,Guinea,,,,,2,0.02,2016
90,Cameroon,,,,,2,0.02,2016
91,Mongolia,,,,,1,0.02,2016
92,Algeria,,,,,1,0.01,2016
93,Sierra Leone,,,,,1,0.01,2016
94,Argentina,1,0.01,,,,,2016
95,Latvia,1,0.01,,,,,2016
96,Japan,367,"7,745.84",199,894.6,459,471.48,2017
97,Korea,861,"3,973.26",426,"3,682.13","1,319",838.92,2017
98,Singapore,186,"3,771.84",70,843.47,322,692.56,2017
99,China,284,"1,409.72",83,271.56,817,487.08,2017
100,BritishVirginIslands,41,271.85,21,214.38,56,"1,165.11",2017
101,Hongkong,129,740.4,82,607.48,99,138.51,2017
102,Taiwan,106,326.93,85,776.28,453,356.77,2017
103,The United States of America,73,637.66,17,155.5,158,75.6,2017
104,Neitherland,36,307.48,15,29.88,35,416.95,2017
105,Thailand,47,299.63,18,87.76,98,325.5,2017
106,Samoa,38,214.59,16,185.81,20,66.44,2017
107,Cayman Islands,8,16.47,5,252.27,17,129.27,2017
108,Germany,33,338.04,18,64.14,43,11.82,2017
109,Oman,3,327.03,,,,,2017
110,Malaysia,28,122.77,17,37.33,138,131.18,2017
111,United Kingdom,38,206,7,17.97,41,15.18,2017
112,India,44,151.38,7,6.23,113,29.88,2017
113,Seychelles,27,72.6,12,43.39,19,48.69,2017
114,Australia,33,89.06,12,-27.47,121,97.56,2017
115,France,44,63.62,13,14,102,28.55,2017
116,Marshall Islands,,,2,1.35,3,98.56,2017
117,Denmark,5,15.83,6,47.92,17,5.83,2017
118,Belgium,3,0.45,2,2.92,17,52.24,2017
119,Brunei Darussalam,2,5.02,9,26.42,6,15.49,2017
